mint,symbol,name,creator_wallet,risk_level,token_score,creator_score,combined_score,initial_market_cap_usd,launched_at
2wPPkSNBwe8rdETwvdHv2hgbZKTq1y66QzhSZV3bpump,UNKNOWN,Unknown,AMicd2LcRjRnETyF13XMhJGipX2J1sQ7uHfaJ3JS7eVo,HIGH,55,50,43,0,2026-05-31 18:27:11
He6QwtSGTfuCsHW5m2iVWu8mWhNR6DPh9HjUb8ydpump,UNKNOWN,Unknown,AMicd2LcRjRnETyF13XMhJGipX2J1sQ7uHfaJ3JS7eVo,HIGH,55,50,43,0,2026-05-31 18:27:11
BsW2ojrFoJ9HCURfGCkEM51juQZWYovpDXM6dwTepump,UNKNOWN,Unknown,AMicd2LcRjRnETyF13XMhJGipX2J1sQ7uHfaJ3JS7eVo,HIGH,55,50,43,0,2026-05-31 18:27:11
F7zsHq6J3euD8Z5w7Jzqohwu5eGF3AL3D6Gm4Jagpump,UNKNOWN,Unknown,AMicd2LcRjRnETyF13XMhJGipX2J1sQ7uHfaJ3JS7eVo,HIGH,55,50,43,0,2026-05-31 18:27:11
GUpuHFuzf3wV9MHAAKxbVNx8KoiksVe16wR6GKTwpump,UNKNOWN,Unknown,CZutgB7w4WbkeCEwFv1qxhkeGyjVGn9XXPYxjwQo3NaM,HIGH,55,50,43,0,2026-05-31 18:27:10
5sGjnC3hEh4uat4xXFpnGit7QMUqjsR3sat97XiMpump,UNKNOWN,Unknown,92cLih2cBc8UF1dkTbpQbMmAy4jLor3mpXGfbgPAv6Bw,HIGH,55,50,43,0,2026-05-31 18:27:08
3WNUz5G1kZcGiv2TKNW3teEq1a1k4JM6dfy91n6TxsRh,UNKNOWN,Unknown,BCuAu2fiJUX9UoREdobaecaAgcUGULm9X5a13r6ducwT,HIGH,55,50,43,0,2026-05-31 18:27:05
7UxEyX7ZYry2stDKFXykSwec33rcEXsePBf4RLsZSUbN,UNKNOWN,Unknown,9AiXyDfy6cKieVPgwyfsNS37HypoS8k7ju2CV3WnyvZG,HIGH,55,50,43,0,2026-05-31 18:27:01
GbrMBbwoECTFgww7b5ymEeP927ZmT9m2JPfWqxHkpump,UNKNOWN,Unknown,7LnYEVxDvkfBMVherR9VFyNUubDCL3SjikdqiKXUCFcD,HIGH,55,50,43,0,2026-05-31 18:27:00
DmQiXYwXknJUzfmJ3YRc2uoXmNkvbqawQTE1EThgpump,UNKNOWN,Unknown,7LnYEVxDvkfBMVherR9VFyNUubDCL3SjikdqiKXUCFcD,HIGH,55,50,43,0,2026-05-31 18:27:00
DU9EfcWhoYH57Xrf7vRaLZpsXQGqiZbNSDXHaY93pump,UNKNOWN,Unknown,7LnYEVxDvkfBMVherR9VFyNUubDCL3SjikdqiKXUCFcD,HIGH,55,50,43,0,2026-05-31 18:27:00
CfWv8gh5GkhCwsmjprPftimUCkXut4Hk8SpBGYHtpump,UNKNOWN,Unknown,7LnYEVxDvkfBMVherR9VFyNUubDCL3SjikdqiKXUCFcD,HIGH,55,50,43,0,2026-05-31 18:27:00
4JHKo5wyKSb8x6tEADTvoahfP22uVD8UKzNxEEeapump,UNKNOWN,Unknown,HKhns7R9Vav1b6qsMKtk5Y4UJfxRwru1duHFp8N1gj7X,HIGH,55,50,43,0,2026-05-31 18:26:59
66pu9dc3HnPgeeayyvo8ewXMteFrejKw6qkac4thpump,UNKNOWN,Unknown,8YcbyX92UHTU23HZv3ccP9o13qibErQkKaUjoxqxd7SJ,HIGH,55,50,43,0,2026-05-31 18:26:44
Chi6QFQexAgcVi31U7j4XPPDSBoXyLzwQH3dQuaupump,UNKNOWN,Unknown,FUwBg3eSSbar7yUChNSoLyyZpDFPJm8p5nCvSCsz1mjj,HIGH,55,50,43,0,2026-05-31 18:26:40
EGcH5F1zijwbhDUyfDSN4Spgk3FM4BS2bi4XEW4BkH7F,UNKNOWN,Unknown,9AiXyDfy6cKieVPgwyfsNS37HypoS8k7ju2CV3WnyvZG,HIGH,55,50,43,0,2026-05-31 18:26:39
Aba8NhyXndAy3kYwpa4eTBFRwvYwTERbEfVhipDUpump,UNKNOWN,Unknown,DRY2uEb6niBnbyN9kUv3HMiDAZKZ4jhjbJDLJv5jna47,HIGH,55,50,43,0,2026-05-31 18:26:36
DiBioqQ6N8QdLYZa977p1yciMCoU4mjfEZBVh1HKpump,UNKNOWN,Unknown,HKhns7R9Vav1b6qsMKtk5Y4UJfxRwru1duHFp8N1gj7X,HIGH,55,50,43,0,2026-05-31 18:26:34
CEXiTkv8Hdce3Eog2ZHdk6mvCzUQn7kbo79NDTD2pump,UNKNOWN,Unknown,3ju3x2qmChLywg7mSiYFLT27RTN4zARcWRr7p5MMi8wm,HIGH,55,50,43,0,2026-05-31 18:26:34
88m33krU5nqAYfRaddQAL1kbfMyF5etwDLYnRHKLpump,UNKNOWN,Unknown,3ju3x2qmChLywg7mSiYFLT27RTN4zARcWRr7p5MMi8wm,HIGH,55,50,43,0,2026-05-31 18:26:34
BsU9RQjiDhx4C26UBDk7LeXYzzLd1ZznhzTTfZkcpump,UNKNOWN,Unknown,3ju3x2qmChLywg7mSiYFLT27RTN4zARcWRr7p5MMi8wm,HIGH,55,50,43,0,2026-05-31 18:26:34
4vANozPnsNTJ9SF8dhD3MMHCKbxcYbrRYVitrLqupump,UNKNOWN,Unknown,3ju3x2qmChLywg7mSiYFLT27RTN4zARcWRr7p5MMi8wm,HIGH,55,50,43,0,2026-05-31 18:26:34
9kPztQUDYwjgwvTYYcxfRnM2qwWa9vi8DgVmRaoipump,UNKNOWN,Unknown,8YcbyX92UHTU23HZv3ccP9o13qibErQkKaUjoxqxd7SJ,HIGH,55,50,43,0,2026-05-31 18:26:32
AcACEskXV5XnJ2ZgAfe98hD9AvBtAHPdc2VahTmBpump,UNKNOWN,Unknown,8ENtkBRdFGUy7G5h9bsjBMEDinYnM8QEfRG9TZ6X9dpW,HIGH,55,50,43,0,2026-05-31 18:26:32
4crqfQaY6V7sbKJMWkysK9j4bvh8KY9m9EAjoP5Kpump,UNKNOWN,Unknown,8ENtkBRdFGUy7G5h9bsjBMEDinYnM8QEfRG9TZ6X9dpW,HIGH,55,50,43,0,2026-05-31 18:26:32
